path,label,class,group,generator,split,sr,duration
Real_Audios\real_001.wav,0,real,file:real_001,bonafide,test,44100,479.0770068027211
Real_Audios\real_002.wav,0,real,file:real_002,bonafide,train,44100,2170.322721088435
Real_Audios\real_003.wav,0,real,file:real_003,bonafide,train,48000,61.73866666666667
Real_Audios\real_004.wav,0,real,file:real_004,bonafide,test,48000,32.29866666666667
Real_Audios\real_005.wav,0,real,file:real_005,bonafide,train,44100,60.99591836734694
Real_Audios\real_006.wav,0,real,file:real_006,bonafide,val,44100,33.41061224489796
Real_Audios\real_007.wav,0,real,file:real_007,bonafide,train,22050,209.97006802721089
Real_Audios\real_008.wav,0,real,file:real_008,bonafide,train,48000,63.76533333333333
Real_Audios\real_009.wav,0,real,file:real_009,bonafide,val,48000,74.58133333333333
Real_Audios\real_010.wav,0,real,file:real_010,bonafide,train,44100,58.9061224489796
Real_Audios\real_011.wav,0,real,file:real_011,bonafide,train,44100,70.79183673469387
Real_Audios\real_012.wav,0,real,file:real_012,bonafide,test,48000,71.46666666666667
Real_Audios\real_013.wav,0,real,file:real_013,bonafide,test,48000,38.31466666666667
Real_Audios\real_014.wav,0,real,file:real_014,bonafide,train,48000,91.84
Real_Audios\real_015.wav,0,real,file:real_015,bonafide,test,44100,40.09795918367347
Real_Audios\real_016.wav,0,real,file:real_016,bonafide,train,44100,64.47020408163266
Real_Audios\real_017.wav,0,real,file:real_017,bonafide,train,44100,93.12653061224488
Real_Audios\real_018.wav,0,real,file:real_018,bonafide,train,22050,269.19242630385486
Real_Audios\real_019.wav,0,real,file:real_019,bonafide,train,24000,6.656
Real_Audios\real_020.wav,0,real,file:real_020,bonafide,train,24000,6.229333333333333
Real_Audios\real_021.wav,0,real,file:real_021,bonafide,train,24000,5.930666666666666
Real_Audios\real_022.wav,0,real,file:real_022,bonafide,train,44100,175.59510204081633
Real_Audios\real_023.wav,0,real,file:real_023,bonafide,train,44100,182.56979591836733
Real_Audios\real_024.wav,0,real,file:real_024,bonafide,test,16000,11.053
Real_Audios\real_025.wav,0,real,file:real_025,bonafide,train,16000,10.69275
Real_Audios\real_026.wav,0,real,file:real_026,bonafide,train,16000,12.759
Real_Audios\real_027.wav,0,real,file:real_027,bonafide,train,16000,12.813
Real_Audios\real_028.wav,0,real,file:real_028,bonafide,train,16000,11.356
Real_Audios\real_029.wav,0,real,file:real_029,bonafide,train,16000,10.591
Real_Audios\real_030.wav,0,real,file:real_030,bonafide,train,16000,11.309
Real_Audios\real_031.wav,0,real,file:real_031,bonafide,train,16000,12.115
Real_Audios\real_032.wav,0,real,file:real_032,bonafide,train,16000,12.467
